title,current_price,currency,link,availability,model,memory,color,model_number
iPhone 14 Plus 256GB Blue,42999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_mini_256gb_blue.html,True,iPhone 14 Plus,256GB,Blue,
iPhone 13 256GB Pink (MLQ83HU/A),34999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_256gb_purple.html,True,iPhone 13 ,256GB,Pink,MLQ83HU/A
iPhone 14 256GB Blue,39999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_256gb_blue.html,True,iPhone 14 ,256GB,Blue,
iPhone 14 Plus 512GB Purple,48999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_plus_512gb_purple.html,True,iPhone 14 Plus,512GB,Purple,
iPhone 14 Pro 256GB Gold,52499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_256gb_gold.html,True,iPhone 14 Pro,256GB,Gold,
iPhone 12 64GB White (MGJ63FS/A),22999.0,UAH,https://www.foxtrot.com.ua/uk/shop/mobilnye_telefony_apple_iphone-12-64gb-white.html,True,iPhone 12 ,64GB,White,MGJ63FS/A
iPhone 14 Plus 128 Gb Yellow,37999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_plus_128gb_yellow.html,True,iPhone 14 Plus,128 Gb,Yellow,
iPhone 14 Pro Max 1TB Gold (APPLE_NEW2022_049),77499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_max_1tb_gold.html,True,iPhone 14 Pro Max,1TB,Gold,
iPhone 14 Pro Max 256GB Space Black,57499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_max_256gb_graphite.html,True,iPhone 14 Pro Max,256GB,Space Black,
iPhone 15 128GB Blue (MTP43RX/A),38499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_128gb_blue.html,True,iPhone 15 ,128GB,Blue,MTP43RX/A
iPhone 14 128GB Purple (APPLE_NEW2022_004),34999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_128gb_pink.html,True,iPhone 14 ,128GB,Purple,
iPhone 14 Pro Max 256GB Gold,57499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_max_256gb_gold.html,True,iPhone 14 Pro Max,256GB,Gold,
iPhone 15 Pro Max 512GB White Titanium (MU7D3RX/A),73499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_pro_max_512gb_silver.html,True,iPhone 15 Pro Max,512GB,White Titanium,MU7D3RX/A
iPhone 13 512GB (PRODUCT) RED (MLQF3HU/A),39999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_64gb_red.html,True,iPhone 13 ,512GB,(PRODUCT) RED,MLQF3HU/A
iPhone 14 Pro 512GB Deep Purple (APPLE_NEW2022_042),62499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_512gb_sierra_blue.html,True,iPhone 14 Pro,512GB,Deep Purple,
