config.logging_config 2023-12-13 17:46:07,814 INFO Heading to https://www.foxtrot.com.ua/uk/shop/odessa/mobilnye_telefony_apple.html
config.logging_config 2023-12-13 17:46:09,575 INFO Status code: 200
config.logging_config 2023-12-13 17:46:13,004 INFO 'Load more' button is clicked.
config.logging_config 2023-12-13 17:46:16,100 INFO 'Load more' button is clicked.
config.logging_config 2023-12-13 17:46:41,845 INFO 'Load more' button is clicked.
config.logging_config 2023-12-13 17:46:43,951 INFO 'Load more' button is clicked.
config.logging_config 2023-12-13 17:46:56,487 WARNING 'Load more' button is not visible. Proceeding.
config.logging_config 2023-12-13 17:46:58,730 INFO Headless browser was closed.
config.logging_config 2023-12-13 17:46:58,747 INFO Amount of items parsed: 112
config.logging_config 2023-12-13 17:46:58,748 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Deep Purple
config.logging_config 2023-12-13 17:46:58,749 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Purple
config.logging_config 2023-12-13 17:46:58,749 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Gold
config.logging_config 2023-12-13 17:46:58,749 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Midnight
config.logging_config 2023-12-13 17:46:58,749 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Midnight
config.logging_config 2023-12-13 17:46:58,749 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Purple (APPLE_NEW2022_004)
config.logging_config 2023-12-13 17:46:58,750 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Starlight
config.logging_config 2023-12-13 17:46:58,750 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Blue
config.logging_config 2023-12-13 17:46:58,750 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Blue
config.logging_config 2023-12-13 17:46:58,750 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Space Black
config.logging_config 2023-12-13 17:46:58,750 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Gold
config.logging_config 2023-12-13 17:46:58,750 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Space Black
config.logging_config 2023-12-13 17:46:58,750 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Starlight
config.logging_config 2023-12-13 17:46:58,750 WARNING No matches to `model_number_pattern` in `title_copy`. Title: (PRODUCT) RED
config.logging_config 2023-12-13 17:46:58,750 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Space Black
config.logging_config 2023-12-13 17:46:58,750 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Deep Purple (APPLE_NEW2022_051)
config.logging_config 2023-12-13 17:46:58,751 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Blue
config.logging_config 2023-12-13 17:46:58,751 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Blue
config.logging_config 2023-12-13 17:46:58,751 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Starlight
config.logging_config 2023-12-13 17:46:58,751 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Starlight
config.logging_config 2023-12-13 17:46:58,751 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Starlight
config.logging_config 2023-12-13 17:46:58,751 WARNING No matches to `model_number_pattern` in `title_copy`. Title: (PRODUCT) RED
config.logging_config 2023-12-13 17:46:58,751 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Purple
config.logging_config 2023-12-13 17:46:58,751 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Deep Purple
config.logging_config 2023-12-13 17:46:58,752 WARNING No matches to `model_number_pattern` in `title_copy`. Title: (PRODUCT) RED
config.logging_config 2023-12-13 17:46:58,752 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Gold (APPLE_NEW2022_049)
config.logging_config 2023-12-13 17:46:58,752 WARNING No matches to `model_number_pattern` in `title_copy`. Title: PRODUCT Red (APPLE_NEW2022_001)
config.logging_config 2023-12-13 17:46:58,752 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Gold
config.logging_config 2023-12-13 17:46:58,752 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Purple
config.logging_config 2023-12-13 17:46:58,752 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Deep Purple (APPLE_NEW2022_042)
config.logging_config 2023-12-13 17:46:58,752 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Deep Purple
config.logging_config 2023-12-13 17:46:58,753 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Space Black
config.logging_config 2023-12-13 17:46:58,753 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Gold (APPLE_NEW2022_044)
config.logging_config 2023-12-13 17:46:58,753 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Gold
config.logging_config 2023-12-13 17:46:58,753 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Space Black
config.logging_config 2023-12-13 17:46:58,753 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Purple
