title,current_price,currency,link,availability,model,memory,color,model_number
iPhone 15 Plus 256GB Pink (MU193RX/A),52499.0,UAH,https://eldorado.ua/uk/uk/smartfon-apple-iphone-15-plus-256gb-pink-mu193rx/p71465468/,True,iPhone 15 Plus,256GB,Pink,MU193RX/A
iPhone 14 Plus 128GB Yellow (MR693RX/A),41999.0,UAH,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-plus-128gb-yellow/p71455630/,True,iPhone 14 Plus,128GB,Yellow,MR693RX/A
iPhone 15 Plus 256GB Yellow (MU1D3RX/A),52499.0,UAH,https://eldorado.ua/uk/uk/smartfon-apple-iphone-15-plus-256gb-yellow-mu1d3rx/p71465469/,True,iPhone 15 Plus,256GB,Yellow,MU1D3RX/A
iPhone 14 Pro 256GB Silver (MQ103RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-256gb-silver/p71419394/,False,iPhone 14 Pro,256GB,Silver,MQ103RX/A
iPhone 14 Pro 256GB Deep Purple (MQ1F3RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-256gb-deep-purple/p71419396/,False,iPhone 14 Pro,256GB,Deep Purple,MQ1F3RX/A
iPhone 14 Pro 512GB Space Black (MQ1M3RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-512gb-space-black/p71419397/,False,iPhone 14 Pro,512GB,Space Black,MQ1M3RX/A
iPhone 15 Pro 128GB Black Titanium (MTUV3RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-15-pro-128gb-black-titanium-mtuv3rx/p71465477/,False,iPhone 15 Pro,128GB,Black Titanium,MTUV3RX/A
iPhone 15 Pro 128GB Natural Titanium (MTUX3RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-15-pro-128gb-natural-titanium-mtux3rx/p71465479/,False,iPhone 15 Pro,128GB,Natural Titanium,MTUX3RX/A
iPhone 15 Pro Max 256GB Natural Titanium (MU793RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-15-pro-max-256gb-natural-titanium-mu793rx/p71465495/,False,iPhone 15 Pro Max,256GB,Natural Titanium,MU793RX/A
iPhone 14 Pro Max 256GB Silver (MQ9V3RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-max-256gb-silver/p71419410/,False,iPhone 14 Pro Max,256GB,Silver,MQ9V3RX/A
iPhone 14 Plus 128GB (PRODUCT)RED (MQ513RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-plus-128gb-product-red/p71419377/,False,iPhone 14 Plus,128GB,(PRODUCT)RED,MQ513RX/A
iPhone 14 Pro Max 1TB Silver (MQC33RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-max-1tb-silver/p71419418/,False,iPhone 14 Pro Max,1TB,Silver,MQC33RX/A
iPhone 14 Pro 128GB Silver (MQ023RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-128gb-silver/p71419390/,False,iPhone 14 Pro,128GB,Silver,MQ023RX/A
iPhone 11 64GB Purple (MHDF3FS/A),,,https://eldorado.ua/uk/uk/smartfon-apple-i-phone-11-64-gb-purple-71273811/p71273811/,False,iPhone 11 ,64GB,Purple,MHDF3FS/A
iPhone 12 Mini 64GB Product Red (MGE03FS/A),,,https://eldorado.ua/uk/uk/smartfon-apple-i-phone-12-mini-64-gb-product-red/p71300664/,False,iPhone 12 Mini,64GB,Product Red,MGE03FS/A
iPhone SE 128GB Black (MHGT3FS/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-se-128gb-black-mhgt3fs-a-/p71309614/,False,iPhone SE ,128GB,Black,MHGT3FS/A
iPhone 13 mini 128GB PRODUCT(RED) (MLK33),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-13-mini-128gb-productred/p71357084/,False,iPhone 13 mini,128GB,PRODUCT,MLK33
iPhone 13 Pro 512GB Sierra Blue (MLVU3),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-13-pro-512gb-sierra-blue/p71357107/,False,iPhone 13 Pro,512GB,Sierra Blue,MLVU3
iPhone 13 Pro Max 1TB Graphite (MLLK3),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-13-pro-max-1tb-graphite/p71357126/,False,iPhone 13 Pro Max,1TB,Graphite,MLLK3
iPhone 14 Pro 1TB Silver (MQ2N3RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-1tb-silver/p71419402/,False,iPhone 14 Pro,1TB,Silver,MQ2N3RX/A
iPhone 11 128GB Green (MHDN3FS/A),,,https://eldorado.ua/uk/uk/smartfon-apple-i-phone-11-128-gb-green/p71273816/,False,iPhone 11 ,128GB,Green,MHDN3FS/A
iPhone 12 Mini 64GB Green (MGE23FS/A),,,https://eldorado.ua/uk/uk/smartfon-apple-i-phone-12-mini-64-gb-purple/p71300665/,False,iPhone 12 Mini,64GB,Green,MGE23FS/A
iPhone 11 128GB Yellow (MHDL3FS/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-11-128gb-yellow-mhdl3fs-a-/p71311123/,False,iPhone 11 ,128GB,Yellow,MHDL3FS/A
iPhone 13 mini 256GB Midnight (MLK53),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-13-mini-256gb-midnight/p71357085/,False,iPhone 13 mini,256GB,Midnight,MLK53
iPhone 13 Pro 512GB Gold (MLVQ3),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-13-pro-512gb-gold/p71357109/,False,iPhone 13 Pro,512GB,Gold,MLVQ3
iPhone 13 Pro 128GB Sierra Blue (DEMO),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-13-pro-128gb-sierra-blue-demo/p71364122/,False,iPhone 13 Pro,128GB,Sierra Blue,DEMO
iPhone 14 Pro Max 256GB Space Black (MQ9U3RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-max-256gb-space-black/p71419409/,False,iPhone 14 Pro Max,256GB,Space Black,MQ9U3RX/A
iPhone 11 64GB Black (DEMO),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-11-64gb-black-demo/p71275708/,False,iPhone 11 ,64GB,Black,DEMO
iPhone 12 Mini 64GB White (MGDY3FS/A),,,https://eldorado.ua/uk/uk/smartfon-apple-i-phone-12-mini-64-gb-white/p71300666/,False,iPhone 12 Mini,64GB,White,MGDY3FS/A
iPhone 11 128GB Product Red (MHDK3FS/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-11-128gb-product-red-mhdk3fs-a-/p71311974/,False,iPhone 11 ,128GB,Product Red,MHDK3FS/A
iPhone 13 mini 256GB Blue (MLK93),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-13-mini-256gb-blue/p71357087/,False,iPhone 13 mini,256GB,Blue,MLK93
iPhone 13 Pro 1TB Sierra Blue (MLW03),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-13-pro-1tb-sierra-blue/p71357111/,False,iPhone 13 Pro,1TB,Sierra Blue,MLW03
iPhone 13 Pro 128GB Silver (DEMO),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-13-pro-128gb-silver-demo/p71364123/,False,iPhone 13 Pro,128GB,Silver,DEMO
